id	name.zh-CN	name.en
21869	江西农业大学南昌商学院	Nanchang Business College of Jiangxi Agricultural University
21971	江西软件职业技术大学	Jiangxi University of Software Professional Technology
3167	江西师范大学	Jiangxi Normal University
21903	江西新能源科技职业学院	Jiangxi New Energy Technology Institute
4743	金陵科技学院	Jinling Institute of Technology
26463	荆州学院	Jingzhou University
10934	井冈山大学	Jinggangshan University
22165	景德镇陶瓷大学	Jingdezhen Ceramic University
26329	景德镇艺术职业大学	Jingdezhen Vocational University of Art
10192	九江学院	Jiujiang University
26713	喀什大学	Kashi University
25866	凯里学院	Kaili University
7764	昆明理工大学	Kunming University of Science and Technology
20318	昆山杜克大学	Duke Kunshan University
10113	兰州财经大学	Lanzhou University of Finance and Economics
25868	兰州城市学院	Lanzhou City University
1083	兰州大学	Lanzhou University
3172	兰州交通大学	Lanzhou Jiaotong University
9158	兰州理工大学	Lanzhou University Of Technology
3173	乐山师范学院	Leshan Normal University
3174	丽水学院	Lishui University
1093	辽宁大学	Liaoning University
4600	辽宁工程技术大学	Liaoning Technical University
36376	辽宁工业大学	Liaoning University of Technology
2876	辽宁科技大学	University of Science and Technology Liaoning
2877	辽宁师范大学	Liaoning Normal University
19790	辽宁石油化工大学	LiaoNing Petrochemical University
7365	聊城大学	Liaocheng University
5437	临沂大学	Linyi University
25890	六盘水师范学院	Liupanshui Normal University
24804	龙岩学院	Longyan University
10212	陇东学院	Longdong University
5441	鲁东大学	Ludong University
9262	洛阳理工学院	Luoyang Institute of Science and Technology
3346	洛阳师范学院	Luoyang Normal University
9349	闽江大学	Minjiang University
8294	闽南师范大学	Minnan Normal University
3873	南昌大学	Nanchang University
21968	南昌工学院	Nanchang Institute of Science and Technology
6885	南昌航空大学	Nanchang Hangkong University
13694	南昌交通学院	Nanchang Jiaotong Institute
8726	南昌理工学院	Nanchang Institute of Technology
10725	南昌师范学院	Nanchang Normal University
13693	南昌职业大学	Nanchang Vocational University
7255	南方科技大学	Southern University of Science and Technology
3989	南方医科大学	Southern Medical University
3180	南京财经大学	Nanjing University of Finance and Economics
1268	南京大学	Nanjing University
24807	南京工程学院	Nanjing Institute of Technology
8302	南京工业大学	Nanjing Tech University
26342	南京工业职业技术大学	Nanjing University of Industry Technology
3178	南京航空航天大学	Nanjing University of Aeronautics and Astronautics
3176	南京航空航天大学金城学院	Nanhang Jincheng College
1271	南京理工大学	Nanjing University of Science and Technology
5577	南京理工大学紫金学院	Nanjing University of Science and Technology ZiJin College
3398	南京林业大学	Nanjing Forestry University
8785	南京农业大学	Nanjing Agricultural University
8740	南京审计大学	Nanjing Audit University
7336	南京师范大学	Nanjing Normal University
6869	南京外国语学校	Nanjing Foreign Language School
8264	南京晓庄学院	NanJing XiaoZhuang University
4725	南京信息工程大学	Nanjing University of Information Science and Technology
3181	南京邮电大学	Nanjing University of Posts and Telecommunications
4252	南京邮电大学通达学院	Tongda College of Nanjing University of Posts and Telecommunications
3179	南京中医药大学	Nanjing University of Chinese Medicine
1272	南开大学	Nankai University
3183	南通大学	Nantong University
25931	南通理工学院	Nantong Institute of Technology
14623	南通师范高等专科学校	Nantong Normal College
4728	南阳理工学院	Nanyang Institute of Technology
7226	南阳师范学院	Nanyang Normal University
3184	内江师范学院	Neijiang Normal University
2803	内蒙古大学	Inner Mongolia University
4023	内蒙古电子信息职业技术学院	Inner Mongolia Electronic Information Vocational Technical College
2911	内蒙古工业大学	Inner Mongolia University of Technology
10943	内蒙古科技大学包头师范学院	Baotou Teachers' College
2909	内蒙古农业大学	Inner Mongolia Agricultural University
4610	内蒙古商贸职业学院	Inner Mongolia Business and Trade Vocational College
2826	内蒙古师范大学	Inner Mongolia Normal University
20086	宁波财经学院	Ningbo University of Finance and Economics
